entry_id,co2_ppm,ch4_ppm,created_at,fecha
2736,783,778.82825,2025-08-20T23:02:39-05:00,2025-08-20
2737,783,778.12506,2025-08-20T23:03:09-05:00,2025-08-20
2738,784,781.64056,2025-08-20T23:03:39-05:00,2025-08-20
2739,784,779.53119,2025-08-20T23:04:09-05:00,2025-08-20
2740,784,780.23438,2025-08-20T23:04:39-05:00,2025-08-20
2741,838,835.78137,2025-08-22T16:12:09-05:00,2025-08-22
2742,832,828.04681,2025-08-22T16:12:39-05:00,2025-08-22
2743,839,840.70325,2025-08-22T16:13:09-05:00,2025-08-22
2744,900,896.95319,2025-08-22T16:13:39-05:00,2025-08-22
2745,872,861.09381,2025-08-22T16:14:09-05:00,2025-08-22
2746,846,837.89069,2025-08-22T16:14:39-05:00,2025-08-22
2747,823,816.79694,2025-08-22T16:15:09-05:00,2025-08-22
2748,808,802.73431,2025-08-22T16:15:39-05:00,2025-08-22
2749,797,791.4845,2025-08-22T16:16:09-05:00,2025-08-22
2750,792,785.15625,2025-08-22T16:16:39-05:00,2025-08-22
2751,800,800.625,2025-08-22T16:17:10-05:00,2025-08-22
2752,811,807.65619,2025-08-22T16:17:39-05:00,2025-08-22
2753,820,810.46869,2025-08-22T16:18:09-05:00,2025-08-22
2754,825,822.422,2025-08-22T16:18:39-05:00,2025-08-22
2755,814,807.65619,2025-08-22T16:19:09-05:00,2025-08-22
2756,798,794.99994,2025-08-22T16:19:39-05:00,2025-08-22
2757,793,788.67194,2025-08-22T16:20:09-05:00,2025-08-22
2758,793,788.67194,2025-08-22T16:20:39-05:00,2025-08-22
2759,793,788.67194,2025-08-22T16:21:09-05:00,2025-08-22
2760,794,787.96875,2025-08-22T16:21:39-05:00,2025-08-22
2761,788,783.04694,2025-08-22T16:22:09-05:00,2025-08-22
2762,793,788.67194,2025-08-22T16:22:39-05:00,2025-08-22
2763,795,790.78131,2025-08-22T16:23:09-05:00,2025-08-22
2764,792,788.67194,2025-08-22T16:23:40-05:00,2025-08-22
2765,790,786.56262,2025-08-22T16:24:09-05:00,2025-08-22
2766,787,780.23438,2025-08-22T16:24:39-05:00,2025-08-22
2767,784,780.23438,2025-08-22T16:25:10-05:00,2025-08-22
